"Contour Data = Velocity Magnitude mm/s"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9
95	21	08	10	19	41	34	23		65	61	159	90	54	259	103	89	129
96	21	08	10	20	01	34	23		22	6	37	74	91	112	89	44	737
97	21	08	10	20	21	34	23		150	81	98	161	11	116	221	183	350
98	21	08	10	20	41	34	23		161	22	117	198	236	201	79	261	503
99	21	08	10	21	01	34	23		110	114	148	161	136	214	152	142	143
100	21	08	10	21	21	34	23		125	105	256	317	281	545	170	177	348
101	21	08	10	21	41	34	23		86	209	26	137	414	194	551	371	390
102	21	08	10	22	01	34	23		197	132	178	377	111	124	226	98	480
103	21	08	10	22	21	34	23		182	34	103	207	211	134	260	333	377
104	21	08	10	22	41	34	23		92	164	246	66	131	349	243	158	458
105	21	08	10	23	01	34	23		87	85	83	127	91	315	194	338	808
106	21	08	10	23	21	34	23		247	369	43	201	244	233	52	69	375
107	21	08	10	23	41	34	23		66	274	107	222	290	222	325	141	296
108	21	08	11	00	01	34	23		103	53	237	112	13	81	65	205	210
109	21	08	11	00	21	34	23		197	176	149	231	144	112	56	176	132
110	21	08	11	00	41	34	23		187	110	226	226	67	176	287	87	97
111	21	08	11	01	01	34	23		261	253	224	231	289	107	141	144	170
112	21	08	11	01	21	34	23		67	90	202	213	104	230	159	71	378
113	21	08	11	01	41	34	23		195	134	73	125	110	56	291	121	438
114	21	08	11	02	01	34	23		110	208	209	62	84	97	73	112	184
115	21	08	11	02	21	34	23		99	235	63	197	8	231	147	209	326
116	21	08	11	02	41	34	23		129	33	155	140	126	273	187	50	432
117	21	08	11	03	01	34	23		131	234	59	214	136	105	222	263	82
118	21	08	11	03	21	34	23		48	61	167	171	120	251	28	151	73
119	21	08	11	03	41	34	23		114	40	170	255	331	101	45	137	79
120	21	08	11	04	01	34	23		203	213	145	144	81	228	25	76	47
121	21	08	11	04	21	34	23		163	140	59	47	65	172	165	152	455
122	21	08	11	04	41	34	23		41	133	143	107	42	88	87	67	91
123	21	08	11	05	01	34	23		130	182	168	202	32	144	141	74	355
124	21	08	11	05	21	34	23		112	148	111	130	189	336	159	58	370
125	21	08	11	05	41	34	23		126	112	188	51	131	153	194	142	324
126	21	08	11	06	01	34	23		100	138	104	66	235	144	102	146	332
127	21	08	11	06	21	34	23		182	116	28	185	142	139	177	117	432
128	21	08	11	06	41	34	23		40	182	86	64	85	55	142	173	283
129	21	08	11	07	01	34	23		71	93	75	34	134	177	216	259	202
130	21	08	11	07	21	34	23		212	151	180	21	79	160	225	29	199
131	21	08	11	07	41	34	23		35	149	152	129	107	204	72	117	236
132	21	08	11	08	01	34	23		71	57	28	172	108	136	188	33	328
133	21	08	11	08	21	34	23		141	106	55	84	156	180	144	241	88
134	21	08	11	08	41	34	23		71	131	133	122	231	132	148	170	87
135	21	08	11	09	01	34	23		103	44	243	204	140	281	196	143	188
136	21	08	11	09	21	34	23		107	124	172	183	68	105	101	107	137
137	21	08	11	09	41	34	23		100	98	117	100	133	115	107	161	324
138	21	08	11	10	01	34	23		61	68	44	87	158	89	133	98	201
139	21	08	11	10	21	34	23		99	64	37	61	86	202	39	222	105
140	21	08	11	10	41	34	23		164	65	160	194	97	100	111	161	418
141	21	08	11	11	01	34	23		152	108	141	33	39	130	135	106	734
142	21	08	11	11	21	34	23		238	122	37	87	108	70	117	214	539
143	21	08	11	11	41	34	23		133	180	34	101	81	60	105	394	529
144	21	08	11	12	01	34	23		124	127	30	156	113	51	238	339	440
145	21	08	11	12	21	34	23		154	224	60	61	37	74	128	164	296
146	21	08	11	12	41	34	23		105	56	39	64	83	31	89	89	196
147	21	08	11	13	01	34	23		121	136	97	21	183	20	55	32	112
148	21	08	11	13	21	34	23		36	21	326	99	148	116	86	202	131
149	21	08	11	13	41	34	23		102	88	246	6	42	62	151	27	234
150	21	08	11	14	01	34	23		168	14	275	273	161	40	312	140	97
151	21	08	11	14	21	34	23		112	165	141	28	105	36	257	310	374
152	21	08	11	14	41	34	23		134	36	191	98	125	122	114	54	91
153	21	08	11	15	01	34	23		66	24	51	28	110	90	41	150	134
154	21	08	11	15	21	34	23		120	127	127	8	78	123	75	214	98
155	21	08	11	15	41	34	23		76	118	94	101	135	163	122	57	141
156	21	08	11	16	01	34	23		79	159	91	139	147	93	107	67	221
157	21	08	11	16	21	34	23		85	77	46	106	135	112	85	248	359
158	21	08	11	16	41	34	23		51	35	50	66	49	64	135	33	110
159	21	08	11	17	01	34	23		53	54	75	103	29	50	47	57	165
160	21	08	11	17	21	34	23		25	9	17	92	147	96	73	100	279
161	21	08	11	17	41	34	23		102	60	72	93	79	150	156	21	132
162	21	08	11	18	01	34	23		134	51	210	61	95	76	79	141	181
163	21	08	11	18	21	34	23		161	195	15	56	26	212	306	47	331
164	21	08	11	18	41	34	23		71	96	64	116	108	128	370	235	164
165	21	08	11	19	01	34	23		22	44	72	111	92	88	215	198	296
166	21	08	11	19	21	34	23		93	86	90	61	88	96	139	35	42
167	21	08	11	19	41	34	23		72	70	66	32	122	55	66	110	423
168	21	08	11	20	01	34	23		65	60	64	75	117	28	243	108	87
169	21	08	11	20	21	34	23		82	33	27	45	56	41	121	135	96
170	21	08	11	20	41	34	23		115	94	127	98	49	139	165	81	208
171	21	08	11	21	01	34	23		56	128	59	36	237	68	250	181	322
172	21	08	11	21	21	34	23		197	32	133	108	100	100	111	115	280
173	21	08	11	21	41	34	23		102	133	108	45	145	122	151	140	179
174	21	08	11	22	01	34	23		115	61	133	161	191	437	187	141	191
175	21	08	11	22	21	34	23		51	109	153	76	123	124	110	65	228
176	21	08	11	22	41	34	23		35	102	103	43	112	41	105	93	235
177	21	08	11	23	01	34	23		126	102	94	188	234	146	202	68	239
178	21	08	11	23	21	34	23		228	120	206	128	163	144	78	93	309
179	21	08	11	23	41	34	23		55	168	195	140	97	130	128	82	228
180	21	08	12	00	01	34	23		105	55	193	168	134	134	98	304	249
181	21	08	12	00	21	34	23		106	94	267	34	89	64	12	64	243
182	21	08	12	00	41	34	23		34	110	143	21	46	99	58	29	80
183	21	08	12	01	01	34	23		19	233	143	166	41	188	48	84	126
184	21	08	12	01	21	34	23		64	32	102	49	202	64	85	39	189
185	21	08	12	01	41	34	23		75	99	86	52	100	110	89	180	48
186	21	08	12	02	01	34	23		122	57	125	127	65	132	145	56	35
187	21	08	12	02	21	34	23		357	115	64	56	83	36	114	41	179
188	21	08	12	02	41	34	23		149	21	103	175	186	96	68	54	247
