"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9
65	21	08	10	09	41	34	23		72,8	20,0	41,3	25,0	41,9	38,8	4,6	333,4	320,0
66	21	08	10	10	01	34	23		11,3	64,0	29,8	12,8	354,0	287,8	14,3	68,7	174,9
67	21	08	10	10	21	34	23		60,5	50,6	104,4	20,3	228,3	51,1	228,2	221,5	165,1
68	21	08	10	10	41	34	23		26,6	27,4	25,7	37,8	13,2	160,1	329,9	285,6	346,4
69	21	08	10	11	01	34	23		225,2	269,7	358,7	270,6	94,9	132,5	12,2	324,5	314,1
70	21	08	10	11	21	34	23		312,7	109,4	85,6	65,0	60,0	14,6	44,4	273,4	243,6
71	21	08	10	11	41	34	23		227,2	97,0	167,7	20,6	144,9	175,6	175,3	122,7	354,0
72	21	08	10	12	01	34	23		76,4	213,0	24,9	73,1	353,1	56,3	58,5	24,4	324,2
73	21	08	10	12	21	34	23		63,0	67,9	258,2	168,3	162,6	128,0	143,7	43,8	320,4
74	21	08	10	12	41	34	23		9,5	299,6	144,8	120,8	195,0	184,9	5,9	41,8	332,2
75	21	08	10	13	01	34	23		60,3	57,8	326,6	328,2	84,4	163,1	326,3	324,1	22,9
76	21	08	10	13	21	34	23		184,8	179,3	143,3	182,3	157,1	355,5	110,4	123,4	306,5
77	21	08	10	13	41	34	23		186,7	343,0	192,7	304,1	14,7	146,3	40,6	35,3	281,2
78	21	08	10	14	01	34	23		112,6	230,7	164,2	111,6	11,7	71,8	58,6	96,7	153,1
79	21	08	10	14	21	34	23		347,9	76,0	104,9	103,5	18,0	355,4	2,3	93,3	265,2
80	21	08	10	14	41	34	23		294,7	337,3	102,1	271,4	353,7	85,2	155,2	72,6	317,0
81	21	08	10	15	01	34	23		192,1	146,4	167,1	200,9	343,4	121,7	228,2	286,0	74,9
82	21	08	10	15	21	34	23		72,0	111,8	98,3	110,8	53,6	59,7	91,4	54,2	108,2
83	21	08	10	15	41	34	23		181,4	177,3	116,3	284,0	83,7	122,4	78,6	354,2	280,2
84	21	08	10	16	01	34	23		114,0	195,9	251,0	214,7	282,9	112,9	95,4	155,6	313,0
85	21	08	10	16	21	34	23		107,4	78,1	333,4	201,7	174,8	150,6	335,7	25,8	31,8
86	21	08	10	16	41	34	23		101,1	211,9	47,1	66,0	77,8	40,3	107,7	26,3	54,5
87	21	08	10	17	01	34	23		263,6	286,0	70,9	51,4	11,2	326,0	17,5	341,9	68,7
88	21	08	10	17	21	34	23		59,0	57,9	22,4	85,4	347,9	147,4	17,9	354,6	346,5
89	21	08	10	17	41	34	23		37,9	48,6	53,6	48,4	6,4	318,6	109,1	38,7	222,0
90	21	08	10	18	01	34	23		281,3	257,9	284,2	123,7	257,2	349,0	21,1	114,6	316,0
91	21	08	10	18	21	34	23		137,0	44,1	208,1	271,0	211,2	121,5	84,6	266,9	243,9
92	21	08	10	18	41	34	23		3,4	124,4	16,7	301,8	24,7	69,9	309,7	228,7	105,3
93	21	08	10	19	01	34	23		309,6	37,3	67,8	27,9	339,1	26,7	81,5	68,3	138,0
94	21	08	10	19	21	34	23		38,7	83,9	9,1	345,7	65,5	33,1	76,8	14,7	301,8
95	21	08	10	19	41	34	23		302,5	90,0	41,7	74,6	80,4	37,9	26,6	337,5	309,6
96	21	08	10	20	01	34	23		185,2	135,0	347,5	301,1	318,6	217,4	191,1	147,0	305,7
97	21	08	10	20	21	34	23		349,7	66,0	300,0	27,7	326,3	262,6	87,4	350,6	353,1
98	21	08	10	20	41	34	23		27,7	309,5	52,6	76,0	49,0	346,4	328,5	47,0	327,4
99	21	08	10	21	01	34	23		278,9	327,6	300,9	277,9	325,1	333,3	121,8	117,6	270,4
100	21	08	10	21	21	34	23		243,4	47,7	202,6	188,5	192,8	200,5	242,4	184,9	197,6
101	21	08	10	21	41	34	23		8,0	120,7	330,5	178,3	245,2	253,8	209,2	200,5	237,6
102	21	08	10	22	01	34	23		140,3	266,1	136,1	127,8	201,7	241,2	192,8	78,2	177,7
103	21	08	10	22	21	34	23		295,7	49,8	119,1	249,4	35,9	261,4	232,5	212,3	222,7
104	21	08	10	22	41	34	23		219,2	255,5	25,5	20,4	129,4	166,4	190,2	129,9	216,9
105	21	08	10	23	01	34	23		88,0	182,7	250,9	58,6	37,4	211,2	183,2	194,7	210,2
106	21	08	10	23	21	34	23		324,6	355,2	251,1	169,7	197,2	209,5	104,6	154,2	212,5
107	21	08	10	23	41	34	23		143,0	87,5	126,2	169,6	223,0	148,5	110,3	77,3	98,5
108	21	08	11	00	01	34	23		134,6	291,2	42,1	179,5	18,4	225,5	169,4	290,8	173,2
109	21	08	11	00	21	34	23		37,2	345,9	71,2	355,5	32,8	82,8	41,4	86,4	320,9
110	21	08	11	00	41	34	23		320,9	63,0	10,2	341,7	245,3	12,8	30,3	252,0	75,7
111	21	08	11	01	01	34	23		20,9	31,2	350,2	31,3	40,1	27,8	56,3	308,5	343,9
112	21	08	11	01	21	34	23		32,3	3,2	293,9	343,1	86,1	333,1	328,1	354,4	41,6
113	21	08	11	01	41	34	23		59,1	48,3	98,7	55,4	47,2	142,3	324,2	17,4	50,7
114	21	08	11	02	01	34	23		84,8	20,9	313,5	237,6	67,7	341,4	15,9	113,1	42,4
115	21	08	11	02	21	34	23		40,1	336,4	69,6	20,8	293,2	6,7	355,3	323,3	293,7
116	21	08	11	02	41	34	23		78,3	43,8	331,4	329,0	305,3	50,5	14,3	62,4	213,4
117	21	08	11	03	01	34	23		32,8	53,0	305,3	353,8	61,0	72,3	29,1	14,5	309,1
118	21	08	11	03	21	34	23		307,3	78,7	313,5	12,5	343,5	55,2	328,0	355,8	126,1
119	21	08	11	03	41	34	23		92,0	230,0	313,1	351,4	52,0	57,6	11,6	335,9	58,9
120	21	08	11	04	01	34	23		0,6	330,2	299,2	338,4	31,9	76,3	41,8	38,1	348,9
121	21	08	11	04	21	34	23		226,5	337,3	201,8	223,3	343,0	333,0	306,4	23,2	4,7
122	21	08	11	04	41	34	23		152,2	32,7	309,0	41,6	308,2	210,1	39,9	53,5	158,8
123	21	08	11	05	01	34	23		275,8	8,8	59,6	65,5	313,7	38,8	27,5	66,2	174,2
124	21	08	11	05	21	34	23		69,6	83,8	49,4	90,9	25,3	36,3	64,7	132,2	7,8
125	21	08	11	05	41	34	23		26,0	30,7	44,1	119,1	27,1	109,9	320,6	327,7	154,2
126	21	08	11	06	01	34	23		18,6	359,2	45,4	12,2	350,2	325,8	296,1	328,7	112,9
127	21	08	11	06	21	34	23		33,8	19,1	300,3	14,7	327,7	42,1	356,4	191,3	189,2
128	21	08	11	06	41	34	23		255,6	347,3	31,7	28,2	32,9	144,6	103,4	77,7	334,9
129	21	08	11	07	01	34	23		336,0	33,2	16,3	5,0	5,6	1,0	28,8	15,2	63,6
130	21	08	11	07	21	34	23		3,5	73,8	26,0	79,2	256,1	340,3	348,4	128,0	351,3
131	21	08	11	07	41	34	23		112,1	49,9	66,0	28,2	29,0	32,4	59,9	9,9	307,9
132	21	08	11	08	01	34	23		98,9	54,9	27,5	58,8	57,0	10,6	6,4	152,7	173,0
133	21	08	11	08	21	34	23		28,7	11,4	357,9	10,2	23,4	6,4	357,6	39,8	129,5
134	21	08	11	08	41	34	23		5,6	337,5	66,9	334,7	39,6	52,7	8,1	93,7	7,9
135	21	08	11	09	01	34	23		330,9	22,5	31,9	10,8	352,6	37,5	51,8	22,2	326,5
