15.01	-1	0.0715
15.01	-1.5	0.0593
15.01	-2	0.0614
15.01	-2.5	0.0535
15.01	-3	0.0259
15.01	-3.5	0.0174
15.01	-4	0.0213
15.01	-4.5	0.0022
15.01	-5	0.0426
15.21	-1	0.0120
15.21	-1.5	0.0081
15.21	-2	0.0020
15.21	-2.5	0.0148
15.21	-3	0.0097
15.21	-3.5	0.0258
15.21	-4	0.0071
15.21	-4.5	0.0120
15.21	-5	0.0007
15.41	-1	0.0304
15.41	-1.5	0.0048
15.41	-2	0.0644
15.41	-2.5	0.0025
15.41	-3	0.0451
15.41	-3.5	0.0125
15.41	-4	0.0507
15.41	-4.5	0.0032
15.41	-5	0.0069
16.01	-1	0.0140
16.01	-1.5	0.0020
16.01	-2	0.0098
16.01	-2.5	0.0131
16.01	-3	0.0405
16.01	-3.5	0.0001
16.01	-4	0.0011
16.01	-4.5	0.0041
16.01	-5	0.0248
16.21	-1	0.0586
16.21	-1.5	0.0036
16.21	-2	0.0013
16.21	-2.5	0.0063
16.21	-3	0.0498
16.21	-3.5	0.0120
16.21	-4	0.0050
16.21	-4.5	0.0080
16.21	-5	0.0022
16.41	-1	0.0769
16.41	-1.5	0.0355
16.41	-2	0.0300
16.41	-2.5	0.0358
16.41	-3	0.0658
16.41	-3.5	0.0155
16.41	-4	0.0022
16.41	-4.5	0.0895
16.41	-5	0.0774
17.01	-1	0.0190
17.01	-1.5	0.0009
17.01	-2	0.0000
17.01	-2.5	0.0036
17.01	-3	0.0033
17.01	-3.5	0.0116
17.01	-4	0.0004
17.01	-4.5	0.0517
17.01	-5	0.0159
17.21	-1	0.0509
17.21	-1.5	0.0001
17.21	-2	0.0171
17.21	-2.5	0.0009
17.21	-3	0.0245
17.21	-3.5	0.0072
17.21	-4	0.0302
17.21	-4.5	0.0447
17.21	-5	0.0150
17.41	-1	0.0547
17.41	-1.5	0.0012
17.41	-2	0.0057
17.41	-2.5	0.0885
17.41	-3	0.0334
17.41	-3.5	0.0423
17.41	-4	0.0079
17.41	-4.5	0.0038
17.41	-5	0.0209
18.01	-1	0.0049
18.01	-1.5	0.0999
18.01	-2	0.0688
18.01	-2.5	0.0021
18.01	-3	0.0129
18.01	-3.5	0.0278
18.01	-4	0.0025
18.01	-4.5	0.0305
18.01	-5	0.0494
18.21	-1	0.0003
18.21	-1.5	0.0012
18.21	-2	0.0185
18.21	-2.5	0.0228
18.21	-3	0.0134
18.21	-3.5	0.0166
18.21	-4	0.0017
18.21	-4.5	0.0512
18.21	-5	0.0086
18.41	-1	0.0523
18.41	-1.5	0.0527
18.41	-2	0.0022
18.41	-2.5	0.0025
18.41	-3	0.0035
18.41	-3.5	0.0273
18.41	-4	0.0385
18.41	-4.5	0.0568
18.41	-5	0.0527
19.01	-1	0.1038
19.01	-1.5	0.0144
19.01	-2	0.0057
19.01	-2.5	0.0080
19.01	-3	0.0765
19.01	-3.5	0.0486
19.01	-4	0.0030
19.01	-4.5	0.0046
19.01	-5	0.0081
19.21	-1	0.0545
19.21	-1.5	0.0213
19.21	-2	0.0069
19.21	-2.5	0.0002
19.21	-3	0.0030
19.21	-3.5	0.0121
19.21	-4	0.0042
19.21	-4.5	0.0315
19.21	-5	0.0010
19.41	-1	0.0302
19.41	-1.5	0.0173
19.41	-2	0.0579
19.41	-2.5	0.0682
19.41	-3	0.0038
19.41	-3.5	0.0096
19.41	-4	0.0019
19.41	-4.5	0.0006
19.41	-5	0.0339
20.01	-1	0.0091
20.01	-1.5	0.0678
20.01	-2	0.0027
20.01	-2.5	0.0040
20.01	-3	0.0298
20.01	-3.5	0.0223
20.01	-4	0.0395
20.01	-4.5	0.0015
20.01	-5	0.0421
20.21	-1	0.0744
20.21	-1.5	0.0009
20.21	-2	0.0180
20.21	-2.5	0.0245
20.21	-3	0.0164
20.21	-3.5	0.0130
20.21	-4	0.0124
20.21	-4.5	0.0004
20.21	-5	0.0037
20.41	-1	0.1022
20.41	-1.5	0.0330
20.41	-2	0.0558
20.41	-2.5	0.0252
20.41	-3	0.0237
20.41	-3.5	0.0350
20.41	-4	0.0197
20.41	-4.5	0.0205
20.41	-5	0.0502
21.01	-1	0.0837
21.01	-1.5	0.0306
21.01	-2	0.0623
21.01	-2.5	0.0248
21.01	-3	0.0452
21.01	-3.5	0.0183
21.01	-4	0.0122
21.01	-4.5	0.0889
21.01	-5	0.0003
21.21	-1	0.0247
21.21	-1.5	0.0310
21.21	-2	0.0421
21.21	-2.5	0.0324
21.21	-3	0.0214
21.21	-3.5	0.0217
21.21	-4	0.0006
21.21	-4.5	0.0151
21.21	-5	0.0002
21.41	-1	0.0343
21.41	-1.5	0.0149
21.41	-2	0.0165
21.41	-2.5	0.0197
21.41	-3	0.0095
21.41	-3.5	0.0148
21.41	-4	0.0017
21.41	-4.5	0.0021
21.41	-5	0.0048
22.01	-1	0.0338
22.01	-1.5	0.0155
22.01	-2	0.0232
22.01	-2.5	0.0067
22.01	-3	0.0112
22.01	-3.5	0.0019
22.01	-4	0.0053
22.01	-4.5	0.0003
22.01	-5	0.0042
22.21	-1	0.0135
22.21	-1.5	0.0089
22.21	-2	0.0020
22.21	-2.5	0.0037
22.21	-3	0.0104
22.21	-3.5	0.0047
22.21	-4	0.0053
22.21	-4.5	0.0076
22.21	-5	0.0048
22.41	-1	0.0026
22.41	-1.5	0.0080
22.41	-2	0.0017
22.41	-2.5	0.0013
22.41	-3	0.0102
22.41	-3.5	0.0062
22.41	-4	0.0040
22.41	-4.5	0.0063
22.41	-5	0.0050
23.01	-1	0.0802
23.01	-1.5	0.0115
23.01	-2	0.0003
23.01	-2.5	0.0656
23.01	-3	0.0136
23.01	-3.5	0.0043
23.01	-4	0.0073
23.01	-4.5	0.0086
23.01	-5	0.0011
23.21	-1	0.0194
23.21	-1.5	0.0124
23.21	-2	0.0031
23.21	-2.5	0.0171
23.21	-3	0.0097
23.21	-3.5	0.0125
23.21	-4	0.0133
23.21	-4.5	0.0057
23.21	-5	0.0084
23.41	-1	0.0810
23.41	-1.5	0.0072
23.41	-2	0.0025
23.41	-2.5	0.0002
23.41	-3	0.0695
23.41	-3.5	0.0110
23.41	-4	0.0158
23.41	-4.5	0.0017
23.41	-5	0.0188
24.01	-1	0.0282
24.01	-1.5	0.0017
24.01	-2	0.0017
24.01	-2.5	0.0008
24.01	-3	0.0036
24.01	-3.5	0.0883
24.01	-4	0.0060
24.01	-4.5	0.0043
24.01	-5	0.0517
24.21	-1	0.0236
24.21	-1.5	0.0027
24.21	-2	0.0167
24.21	-2.5	0.0037
24.21	-3	0.0100
24.21	-3.5	0.0068
24.21	-4	0.0303
24.21	-4.5	0.0126
24.21	-5	0.0043
24.41	-1	0.0101
24.41	-1.5	0.0325
24.41	-2	0.0054
24.41	-2.5	0.0648
24.41	-3	0.0387
24.41	-3.5	0.0085
24.41	-4	0.0066
24.41	-4.5	0.0049
24.41	-5	0.0041
25.01	-1	0.0635
25.01	-1.5	0.0545
25.01	-2	0.0063
25.01	-2.5	0.0049
25.01	-3	0.0130
25.01	-3.5	0.0104
25.01	-4	0.0080
25.01	-4.5	0.0012
25.01	-5	0.0220
25.21	-1	0.0113
25.21	-1.5	0.0047
25.21	-2	0.0069
25.21	-2.5	0.0010
25.21	-3	0.0013
