"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\DVS\DVS1.pd0"
"Broadband 2457.6 kHz"
"Pings/Ens ="	1
"Time/Ping = 00:04.00"
"First Ensemble Date = 00/01/01"
"First Ensemble Time = 01:44:09.00"
"Ensemble Interval (s) = "	0,00
"1st Bin Range (m) = "	1,32
"Bin Size (m) ="	1,00

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5
103	21	08	11	00	02	49	00		199,7	200,4	204,8	199,4	209,1
104	21	08	11	00	22	49	00		234,9	228,2	236,8	225,8	219,2
105	21	08	11	00	42	49	00		189,9	208,7	211,3	218,7	171,4
106	21	08	11	01	02	49	00		298,3	293,2	321,3	329,4	335,0
107	21	08	11	01	22	49	00		291,4	308,0	317,7	315,0	320,0
108	21	08	11	01	42	49	00		209,1	290,6	270,0	274,4	197,4
109	21	08	11	02	02	49	00		333,4	330,9	354,6	351,5	318,6
110	21	08	11	02	22	49	00		342,9	321,3	340,7	35,5	323,1
111	21	08	11	02	42	49	00		240,5	239,0	228,8	212,7	208,1
112	21	08	11	03	02	49	00		318,6	308,7	349,2	321,0	294,9
113	21	08	11	03	22	49	00		225,0	180,0	184,5	180,0	240,3
114	21	08	11	03	42	49	00		213,7	281,3	73,3	123,7	318,8
115	21	08	11	04	02	49	00		144,1	138,8	138,5	137,6	170,5
116	21	08	11	04	22	49	00		191,3	258,7	303,7	212,0	270,0
117	21	08	11	04	42	49	00		161,9	160,8	160,5	161,9	182,8
118	21	08	11	05	02	49	00		200,9	225,0	217,4	199,4	218,7
119	21	08	11	05	22	49	00		35,0	32,0	15,3	32,0	16,9
120	21	08	11	05	42	49	00		109,2	132,9	119,1	76,0	160,0
121	21	08	11	06	02	49	00		319,2	295,6	309,0	309,5	324,2
122	21	08	11	06	22	49	00		263,0	272,4	263,5	271,2	244,7
123	21	08	11	06	42	49	00		205,0	192,3	193,2	223,0	265,6
124	21	08	11	07	02	49	00		173,2	180,0	168,0	193,1	172,9
125	21	08	11	07	22	49	00		141,3	118,8	213,7	164,1	115,2
126	21	08	11	07	42	49	00		279,5	68,2	0,0	288,4	309,8
127	21	08	11	08	02	49	00		272,7	305,5	305,3	284,6	317,7
128	21	08	11	08	22	49	00		20,6	22,8	14,0	29,1	20,2
129	21	08	11	08	42	49	00		319,4	328,0	348,1	315,0	306,5
130	21	08	11	09	02	49	00		286,6	313,5	300,6	288,4	261,0
131	21	08	11	09	22	49	00		193,2	210,1	188,9	202,4	180,0
132	21	08	11	09	42	49	00		209,4	219,4	229,6	219,6	228,2
