"Contour Data = Velocity Magnitude mm/s"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\DVS\DVS1.pd0"
"Broadband 2457.6 kHz"
"Pings/Ens ="	1
"Time/Ping = 00:04.00"
"First Ensemble Date = 00/01/01"
"First Ensemble Time = 01:44:09.00"
"Ensemble Interval (s) = "	0,00
"1st Bin Range (m) = "	1,32
"Bin Size (m) ="	1,00

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5
134	21	08	11	10	22	49	00		18	16	20	17	19
135	21	08	11	10	42	49	00		3	16	15	21	6
136	21	08	11	11	02	49	00		11	17	13	22	20
137	21	08	11	11	22	49	00		17	25	19	18	19
138	21	08	11	11	42	49	00		34	23	32	29	40
139	21	08	11	12	02	49	00		53	52	54	60	32
140	21	08	11	12	22	49	00		43	32	43	38	46
141	21	08	11	12	42	49	00		8	14	15	19	28
142	21	08	11	13	02	49	00		13	7	15	14	22
143	21	08	11	13	22	49	00		24	31	28	27	29
144	21	08	11	13	42	49	00		45	46	60	42	63
145	21	08	11	14	02	49	00		28	26	28	27	19
146	21	08	11	14	22	49	00		38	42	41	17	24
147	21	08	11	14	42	49	00		43	53	44	33	36
148	21	08	11	15	02	49	00		42	27	32	34	35
149	21	08	11	15	22	49	00		24	20	30	34	32
150	21	08	11	15	42	49	00		41	47	40	43	33
151	21	08	11	16	02	49	00		31	25	38	26	35
152	21	08	11	16	22	49	00		25	33	21	38	44
153	21	08	11	16	42	49	00		10	13	9	10	26
154	21	08	11	17	02	49	00		55	43	37	55	45
155	21	08	11	17	22	49	00		11	14	42	40	28
156	21	08	11	17	42	49	00		4	6	7	4	16
157	21	08	11	18	02	49	00		12	8	15	25	38
158	21	08	11	18	22	49	00		40	32	37	30	23
159	21	08	11	18	42	49	00		65	60	51	42	30
160	21	08	11	19	02	49	00		27	20	15	26	33
161	21	08	11	19	22	49	00		41	25	24	19	38
162	21	08	11	19	42	49	00		28	34	33	45	51
163	21	08	11	20	02	49	00		49	41	55	41	28
164	21	08	11	20	22	49	00		19	12	26	14	22
165	21	08	11	20	42	49	00		11	1	8	25	28
166	21	08	11	21	02	49	00		44	44	40	48	53
167	21	08	11	21	22	49	00		46	48	66	71	80
168	21	08	11	21	42	49	00		35	42	43	54	96
169	21	08	11	22	02	49	00		23	11	18	9	6
170	21	08	11	22	22	49	00		22	21	10	11	13
171	21	08	11	22	42	49	00		35	31	41	51	57
172	21	08	11	23	02	49	00		16	29	23	30	6
173	21	08	11	23	22	49	00		49	65	72	74	75
174	21	08	11	23	42	49	00		56	63	62	74	69
175	21	08	12	00	02	49	00		20	21	24	25	26
176	21	08	12	00	22	49	00		24	26	43	43	48
177	21	08	12	00	42	49	00		17	7	12	8	25
178	21	08	12	01	02	49	00		29	52	60	74	59
179	21	08	12	01	22	49	00		45	35	22	11	27
180	21	08	12	01	42	49	00		4	7	11	6	16
181	21	08	12	02	02	49	00		29	26	30	27	23
182	21	08	12	02	22	49	00		8	5	10	6	9
183	21	08	12	02	42	49	00		27	28	30	32	17
184	21	08	12	03	02	49	00		32	37	12	15	29
185	21	08	12	03	22	49	00		21	35	32	13	18
186	21	08	12	03	42	49	00		17	4	9	21	10
187	21	08	12	04	02	49	00		17	23	19	15	18
188	21	08	12	04	22	49	00		48	57	64	51	53
189	21	08	12	04	42	49	00		37	49	44	39	25
190	21	08	12	05	02	49	00		2	14	1	3	16
191	21	08	12	05	22	49	00		49	47	53	56	57
192	21	08	12	05	42	49	00		39	39	47	39	30
193	21	08	12	06	02	49	00		34	31	39	43	35
194	21	08	12	06	22	49	00		53	50	57	64	62
195	21	08	12	06	42	49	00		29	22	27	18	19
196	21	08	12	07	02	49	00		25	32	30	30	33
197	21	08	12	07	22	49	00		39	45	25	35	36
198	21	08	12	07	42	49	00		48	46	51	68	64
199	21	08	12	08	02	49	00		28	29	26	27	4
200	21	08	12	08	22	49	00		8	6	13	12	23
201	21	08	12	08	42	49	00		34	43	36	47	24
202	21	08	12	09	02	49	00		36	37	30	47	35
203	21	08	12	09	22	49	00		20	28	21	30	13
204	21	08	12	09	42	49	00		37	44	25	28	39
205	21	08	12	10	02	49	00		37	24	22	16	40
206	21	08	12	10	22	49	00		42	33	45	35	42
207	21	08	12	10	42	49	00		26	20	27	27	34
208	21	08	12	11	02	49	00		37	11	20	17	13
209	21	08	12	11	22	49	00		31	34	38	41	24
210	21	08	12	11	42	49	00		22	9	15	19	33
211	21	08	12	12	02	49	00		80	68	57	54	65
