15.01	-1	0.234345
15.01	-1.5	0.191008
15.01	-2	0.277278
15.01	-2.5	0.151837
15.01	-3	0.165986
15.01	-3.5	0.289478
15.01	-4	0.532574
15.01	-4.5	0.100976
15.01	-5	0.182076
15.21	-1	0.178598
15.21	-1.5	0.352907
15.21	-2	0.081976
15.21	-2.5	0.073535
15.21	-3	0.190752
15.21	-3.5	0.137611
15.21	-4	0.054536
15.21	-4.5	0.128443
15.21	-5	0.096998
15.41	-1	0.081515
15.41	-1.5	0.117901
15.41	-2	0.195672
15.41	-2.5	0.061948
15.41	-3	0.120866
15.41	-3.5	0.16051
15.41	-4	0.1945
15.41	-4.5	0.12796
15.41	-5	0.153844
16.01	-1	0.46679
16.01	-1.5	0.079975
16.01	-2	0.072346
16.01	-2.5	0.03992
16.01	-3	0.130881
16.01	-3.5	0.134
16.01	-4	0.190997
16.01	-4.5	0.164948
16.01	-5	0.067585
16.21	-1	0.159576
16.21	-1.5	0.120946
16.21	-2	0.128994
16.21	-2.5	0.16588
16.21	-3	0.14574
16.21	-3.5	0.042335
16.21	-4	0.106882
16.21	-4.5	0.092656
16.21	-5	0.067963
16.41	-1	0.220992
16.41	-1.5	0.09564
16.41	-2	0.094341
16.41	-2.5	0.106137
16.41	-3	0.186731
16.41	-3.5	0.065174
16.41	-4	0.063961
16.41	-4.5	0.239859
16.41	-5	0.20808
17.01	-1	0.148792
17.01	-1.5	0.296999
17.01	-2	0.022
17.01	-2.5	0.131952
17.01	-3	0.034845
17.01	-3.5	0.12145
17.01	-4	0.016996
17.01	-4.5	0.152469
17.01	-5	0.288563
17.21	-1	0.296661
17.21	-1.5	0.026
17.21	-2	0.064782
17.21	-2.5	0.035988
17.21	-3	0.137837
17.21	-3.5	0.029126
17.21	-4	0.094281
17.21	-4.5	0.140038
17.21	-5	0.187399
17.41	-1	0.184038
17.41	-1.5	0.07799
17.41	-2	0.150891
17.41	-2.5	0.235935
17.41	-3	0.094242
17.41	-3.5	0.121871
17.41	-4	0.208849
17.41	-4.5	0.200964
17.41	-5	0.060484
18.01	-1	0.062808
18.01	-1.5	0.293473
18.01	-2	0.185654
18.01	-2.5	0.177987
18.01	-3	0.044144
18.01	-3.5	0.076089
