Seaguard RCM DW
Product number:	4451
Serial number:	184

		System Parameters(0)				Conductivity #517(517)		DCS #352(352)													Pressure #363(363)		Temperature #318(318)	Depth and Salinity(Virtual)(0)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Pressure(kPa)	Temperature(DegC)	Temperature(DegC)	Depth(m)	Salinity(PSU)	Density(kg/m^3)	Latitude(Deg)	Air Pressure(kPa)
297	15.08.21 18:33:58	8.737	9449472	1798994	0.000	0.017	21.636	19.296	59.054	9.922	16.549	157.495	41.701	47.381	102.553	-69.639	50	80.391	81.883	0.594	97.246	21.615	21.621	-0.402	0.016	997.869	44.000	101.300
298	15.08.21 19:03:58	8.731	9449472	1798994	0.000	0.017	21.657	11.255	48.352	7.479	8.410	157.784	41.699	47.362	103.859	-69.646	50	80.277	81.097	0.394	97.205	21.643	21.649	-0.406	0.016	997.862	44.000	101.300
299	15.08.21 19:33:58	8.731	9449472	1798993	0.000	0.017	21.674	4.746	30.085	4.107	2.379	157.340	41.716	47.383	111.781	-69.698	50	80.473	82.429	0.526	97.235	21.676	21.685	-0.403	0.016	997.855	44.000	101.300
300	15.08.21 20:03:58	8.725	9449472	1798994	0.000	0.017	21.706	45.752	107.099	-13.453	43.730	157.625	41.705	47.375	103.828	-69.730	50	80.375	81.495	0.497	97.301	21.720	21.731	-0.397	0.016	997.844	44.000	101.300
301	15.08.21 20:33:58	8.731	9449472	1798994	0.000	0.017	21.764	38.906	303.316	21.370	-32.512	157.861	41.690	47.376	115.897	-69.673	50	80.301	81.390	0.455	97.278	21.765	21.765	-0.399	0.016	997.837	44.000	101.300
302	15.08.21 21:03:58	8.731	9449472	1798994	0.000	0.018	21.795	21.867	38.176	17.190	13.516	157.430	41.724	47.380	99.468	-69.706	50	80.497	82.124	0.497	97.233	21.795	21.782	-0.403	0.016	997.833	44.000	101.300
303	15.08.21 21:33:58	8.725	9449472	1798994	0.000	0.017	21.804	14.062	340.854	13.284	-4.612	157.871	41.677	47.372	113.814	-69.636	50	80.220	81.340	0.437	97.154	21.807	21.786	-0.411	0.016	997.832	44.000	101.300
304	15.08.21 22:03:58	8.731	9449472	1798994	0.000	0.018	21.782	15.097	18.494	14.318	4.789	157.643	41.705	47.373	113.441	-69.711	50	80.365	81.381	0.453	97.176	21.795	21.769	-0.409	0.016	997.836	44.000	101.300
305	15.08.21 22:33:58	8.725	9449472	1798994	0.000	0.018	21.745	8.973	90.400	-0.063	8.973	157.746	41.694	47.372	121.885	-69.675	50	80.307	81.580	0.521	97.250	21.763	21.731	-0.402	0.016	997.844	44.000	101.300
306	15.08.21 23:03:58	8.725	9449472	1798994	0.000	0.017	21.729	11.735	310.848	7.675	-8.877	157.405	41.701	47.384	110.327	-69.676	50	80.400	81.317	0.440	97.224	21.732	21.705	-0.404	0.016	997.850	44.000	101.300
307	15.08.21 23:33:58	8.725	9449472	1798994	0.000	0.017	21.705	35.037	206.360	-31.394	-15.557	157.866	41.704	47.358	113.117	-69.700	50	80.282	81.508	0.493	97.078	21.714	21.690	-0.419	0.016	997.853	44.000	101.300
308	16.08.21 00:03:58	8.731	9449472	1798994	0.000	0.017	21.676	28.185	59.595	14.264	24.308	157.787	41.697	47.361	115.484	-69.703	50	80.258	81.248	0.404	97.333	21.702	21.682	-0.394	0.016	997.855	44.000	101.300
309	16.08.21 00:33:58	8.725	9449472	1798994	0.000	0.017	21.660	11.960	124.612	-6.793	9.843	157.840	41.672	47.384	105.394	-69.637	50	80.255	81.193	0.430	97.316	21.694	21.675	-0.395	0.016	997.856	44.000	101.300
310	16.08.21 01:03:58	8.737	9449472	1798994	0.000	0.017	21.665	22.400	323.647	18.041	-13.278	157.942	41.696	47.373	114.720	-69.672	50	80.320	81.329	0.484	97.181	21.688	21.669	-0.409	0.016	997.858	44.000	101.300
311	16.08.21 01:33:58	8.731	9449472	1798994	0.000	0.017	21.676	47.329	141.327	-36.951	29.575	157.768	41.682	47.381	92.439	-69.719	50	80.287	81.215	0.458	97.345	21.673	21.651	-0.392	0.016	997.862	44.000	101.300
312	16.08.21 02:03:58	8.725	9449472	1798994	0.000	0.017	21.628	18.671	150.460	-16.244	9.206	157.697	41.693	47.382	91.784	-69.694	50	80.355	81.258	0.542	97.293	21.652	21.628	-0.397	0.016	997.867	44.000	101.300
313	16.08.21 02:33:58	8.725	9449472	1798993	0.000	0.017	21.612	8.182	289.233	2.695	-7.725	157.850	41.683	47.389	108.537	-69.723	50	80.340	81.545	0.543	97.250	21.632	21.605	-0.402	0.016	997.872	44.000	101.300
314	16.08.21 03:03:58	8.725	9449472	1798994	0.000	0.017	21.578	18.238	158.417	-16.959	6.709	157.966	41.678	47.375	112.547	-69.640	50	80.243	81.222	0.550	97.228	21.603	21.574	-0.404	0.016	997.879	44.000	101.300
315	16.08.21 03:33:58	8.725	9449472	1798993	0.000	0.018	21.577	9.592	125.011	-5.503	7.857	158.095	41.669	47.374	96.604	-69.707	50	80.190	81.194	0.459	97.268	21.571	21.542	-0.400	0.016	997.886	44.000	101.300
316	16.08.21 04:03:58	8.731	9449472	1798994	0.000	0.017	21.530	27.217	288.850	8.794	-25.758	157.896	41.701	47.366	118.072	-69.723	50	80.309	81.148	0.432	97.128	21.532	21.505	-0.414	0.016	997.894	44.000	101.300
317	16.08.21 04:33:58	8.720	9449472	1798994	0.000	0.018	21.494	27.279	7.597	27.040	3.606	157.927	41.692	47.360	117.257	-69.710	50	80.231	81.140	0.443	97.033	21.495	21.467	-0.423	0.016	997.903	44.000	101.300
318	16.08.21 05:03:58	8.720	9449472	1798994	0.000	0.017	21.486	34.833	29.807	30.225	17.315	157.806	41.697	47.378	112.122	-69.711	50	80.361	81.992	0.583	97.031	21.456	21.430	-0.423	0.016	997.911	44.000	101.300
319	16.08.21 05:33:58	8.720	9449472	1798994	0.000	0.018	21.402	19.042	339.864	17.878	-6.555	157.966	41.699	47.356	105.607	-69.681	50	80.242	81.371	0.410	97.030	21.424	21.400	-0.424	0.016	997.918	44.000	101.300
320	16.08.21 06:03:58	8.725	9449472	1798993	0.000	0.017	21.402	22.765	49.743	14.711	17.373	157.776	41.703	47.375	100.748	-69.704	50	80.363	81.557	0.483	97.071	21.397	21.378	-0.420	0.016	997.922	44.000	101.300
321	16.08.21 06:33:58	8.720	9449472	1798994	0.000	0.018	21.375	27.012	1.611	27.001	0.759	158.051	41.699	47.347	108.573	-69.717	50	80.200	81.168	0.445	97.143	21.379	21.360	-0.412	0.016	997.927	44.000	101.300
322	16.08.21 07:03:58	8.720	9449472	1798994	0.000	0.018	21.358	40.376	302.600	21.754	-34.015	158.079	41.694	47.355	119.333	-69.705	50	80.215	81.350	0.497	97.058	21.359	21.341	-0.421	0.016	997.931	44.000	101.300
323	16.08.21 07:33:58	8.731	9449472	1798994	0.000	0.017	21.327	18.595	237.556	-9.976	-15.692	158.117	41.677	47.366	106.666	-69.636	50	80.191	81.807	0.523	97.173	21.344	21.328	-0.409	0.016	997.934	44.000	101.300
324	16.08.21 08:03:58	8.720	9449472	1798994	0.000	0.017	21.326	26.370	84.606	2.479	26.253	157.857	41.682	47.382	107.579	-69.667	50	80.294	81.168	0.416	97.172	21.336	21.320	-0.409	0.016	997.935	44.000	101.300
325	16.08.21 08:33:58	8.720	9449472	1798994	0.000	0.017	21.361	39.194	110.875	-13.966	36.622	157.919	41.693	47.372	88.564	-69.693	50	80.296	81.652	0.440	97.342	21.335	21.322	-0.393	0.016	997.935	44.000	101.300
326	16.08.21 09:03:58	8.714	9449472	1798994	0.000	0.016	21.342	0.676	182.809	-0.675	-0.033	151.300	42.478	46.465	104.108	-69.718	50	80.091	90.000	3.635	97.115	21.341	21.334	-0.415	0.016	997.932	44.000	101.300
327	16.08.21 09:33:58	8.720	9449472	1798994	0.000	0.017	21.386	45.467	218.621	-35.523	-28.379	203.764	45.022	46.365	113.983	-69.689	50	81.266	90.000	8.365	96.240	21.369	21.368	-0.502	0.016	997.924	44.000	101.300
328	16.08.21 10:03:58	8.708	9449472	1798994	0.000	0.017	21.402	10.351	184.381	-10.321	-0.791	164.506	43.441	46.126	114.054	-69.656	50	78.560	90.000	8.846	97.014	21.415	21.403	-0.425	0.016	997.917	44.000	101.300
329	16.08.21 10:33:58	8.720	9449472	1798994	0.000	0.017	21.535	13.340	262.436	-1.756	-13.224	173.387	42.642	45.082	111.386	-69.672	50	77.240	90.000	10.068	97.048	21.554	21.581	-0.422	0.016	997.878	44.000	101.300
330	16.08.21 11:03:58	8.714	9449472	1798994	0.000	0.017	21.713	11.867	72.843	3.501	11.339	130.908	42.544	46.687	115.510	-69.681	50	79.341	90.000	4.320	97.289	21.750	21.797	-0.398	0.016	997.829	44.000	101.300
331	16.08.21 11:33:58	8.725	9449472	1798994	0.000	0.018	21.926	24.826	113.764	-10.004	22.721	98.573	44.002	45.901	112.801	-69.724	50	78.655	90.000	10.209	96.417	21.971	22.035	-0.484	0.016	997.775	44.000	101.300
332	16.08.21 12:03:58	8.714	9449472	1798994	0.000	0.019	22.260	15.131	114.517	-6.279	13.767	171.209	42.373	44.718	114.736	-69.679	50	75.727	90.000	13.009	96.776	22.314	22.390	-0.449	0.017	997.694	44.000	101.300
333	16.08.21 12:33:58	8.720	9449472	1798994	0.000	0.020	22.678	27.030	288.318	8.496	-25.661	158.257	43.580	46.038	100.473	-69.742	50	77.530	90.000	13.548	97.181	22.763	22.848	-0.409	0.017	997.588	44.000	101.300
334	16.08.21 13:03:58	8.714	9449472	1798994	0.000	0.019	23.116	13.126	185.393	-13.068	-1.234	179.540	44.045	45.292	110.791	-69.577	50	76.470	90.000	16.067	97.405	23.198	23.273	-0.386	0.017	997.487	44.000	101.300
335	16.08.21 13:33:58	8.725	9449472	1798994	0.000	0.019	23.500	22.398	181.043	-22.395	-0.408	112.919	43.554	44.941	108.843	-69.598	50	77.953	90.000	13.314	97.435	23.605	23.695	-0.383	0.017	997.385	44.000	101.300
336	16.08.21 14:03:58	8.725	9449472	1798994	0.000	0.020	24.013	20.733	249.674	-7.202	-19.442	354.738	43.326	45.984	99.267	-69.552	50	75.723	90.000	14.697	97.563	24.100	24.218	-0.371	0.018	997.257	44.000	101.300
337	16.08.21 14:33:58	8.731	9449472	1798994	0.000	0.021	24.379	8.632	250.270	-2.914	-8.125	332.763	43.514	46.312	114.380	-69.534	50	74.503	90.000	15.069	97.635	24.444	24.522	-0.364	0.018	997.181	44.000	101.300
338	16.08.21 15:03:58	8.737	9449472	1798993	0.000	0.020	24.771	14.614	118.371	-6.944	12.858	342.160	42.122	44.960	110.015	-69.573	50	74.935	90.000	13.542	97.353	24.824	24.918	-0.392	0.018	997.081	44.000	101.300
339	16.08.21 15:33:58	8.731	9449472	1798994	0.000	0.020	25.224	7.820	28.330	6.883	3.711	334.914	42.841	46.390	107.473	-69.482	50	76.633	90.000	14.512	97.569	25.267	25.406	-0.370	0.018	996.955	44.000	101.300
340	16.08.21 16:03:58	8.744	9449472	1798994	0.000	0.020	25.730	13.601	328.912	11.648	-7.023	349.205	44.016	46.391	108.346	-69.550	50	77.084	90.000	14.258	97.269	25.787	25.949	-0.400	0.018	996.812	44.000	101.300
341	16.08.21 16:33:58	8.744	9449472	1798994	0.000	0.020	26.274	18.376	116.841	-8.297	16.396	76.673	43.790	46.026	109.962	-69.456	50	77.573	90.000	12.507	97.258	26.319	26.478	-0.401	0.018	996.671	44.000	101.300
342	16.08.21 17:03:58	8.744	9449472	1798994	0.000	0.020	26.713	12.694	341.137	12.012	-4.104	302.386	44.040	46.240	108.535	-69.488	50	78.015	90.000	11.774	97.778	26.775	26.904	-0.349	0.018	996.555	44.000	101.300
343	16.08.21 17:33:58	8.750	9449472	1798994	0.000	0.019	27.119	35.306	316.781	25.729	-24.177	232.689	42.618	46.357	104.724	-69.480	50	79.700	80.768	0.519	97.805	27.154	27.263	-0.347	0.018	996.456	44.000	101.300
344	16.08.21 18:03:58	8.750	9449472	1798994	0.000	0.020	27.347	36.797	280.591	6.763	-36.170	255.538	42.792	46.052	103.454	-69.393	50	79.700	90.000	3.706	97.744	27.406	27.468	-0.353	0.018	996.399	44.000	101.300
345	16.08.21 18:33:58	8.744	9449472	1798995	0.000	0.020	27.515	77.154	79.086	14.608	75.758	336.888	43.055	45.651	97.347	-69.362	50	77.801	90.000	13.481	97.577	27.528	27.582	-0.369	0.018	996.367	44.000	101.300
346	16.08.21 19:03:58	8.731	9449472	1798994	0.000	0.020	27.789	35.967	107.152	-10.607	34.368	342.765	44.303	46.279	105.874	-69.394	50	78.804	90.000	13.231	97.845	27.804	27.902	-0.343	0.018	996.277	44.000	101.300
347	16.08.21 19:33:58	8.750	9449472	1798994	0.000	0.021	28.098	31.344	12.604	30.589	6.840	345.651	42.824	45.284	112.080	-69.424	50	77.260	90.000	12.020	97.194	28.127	28.221	-0.407	0.018	996.186	44.000	101.300
348	16.08.21 20:03:58	8.756	9449472	1798994	0.000	0.020	28.366	22.083	95.592	-2.152	21.977	346.906	42.655	46.573	96.986	-69.424	50	78.542	90.000	14.609	96.461	28.352	28.509	-0.480	0.018	996.103	44.000	101.300
349	16.08.21 20:33:58	8.761	9449472	1798994	0.000	0.021	28.579	34.733	325.965	28.783	-19.440	338.554	43.374	45.707	112.803	-69.392	50	76.674	90.000	14.537	97.070	28.523	28.671	-0.420	0.018	996.057	44.000	101.300
350	16.08.21 21:03:58	8.756	9449472	1798994	0.000	0.020	28.613	33.614	83.122	4.025	33.372	338.545	43.459	46.658	115.770	-69.389	50	78.696	90.000	11.379	96.718	28.597	28.701	-0.455	0.018	996.048	44.000	101.300
351	16.08.21 21:33:58	8.761	9449472	1798994	0.000	0.020	28.671	53.462	141.521	-41.852	33.266	10.474	43.552	48.018	109.505	-69.348	50	77.874	90.000	11.648	96.408	28.647	28.728	-0.485	0.018	996.039	44.000	101.300
352	16.08.21 22:03:58	8.756	9453568	1798994	0.000	0.019	28.680	38.323	51.334	23.943	29.922	327.822	43.719	46.306	119.074	-69.372	50	78.432	90.000	13.133	95.669	28.708	28.643	-0.559	0.018	996.064	44.000	101.300
353	16.08.21 22:33:58	8.761	9453568	1798993	0.000	0.020	28.570	48.201	85.199	4.034	48.032	333.501	41.959	44.522	118.862	-69.336	50	72.962	90.000	12.344	95.889	28.639	28.567	-0.537	0.018	996.086	44.000	101.300
354	16.08.21 23:03:58	8.761	9453568	1798994	0.000	0.019	28.464	52.056	20.344	48.809	18.097	308.737	44.526	46.367	102.700	-69.387	50	80.460	90.000	11.914	96.773	28.515	28.461	-0.449	0.018	996.117	44.000	101.300
355	16.08.21 23:33:58	8.756	9453568	1798995	0.000	0.020	28.393	50.720	338.636	47.234	-18.477	283.994	44.172	46.792	116.838	-69.397	50	81.769	90.000	6.319	97.226	28.430	28.384	-0.404	0.018	996.139	44.000	101.300
356	17.08.21 00:03:58	8.761	9457664	1798995	0.000	0.020	28.354	56.372	299.159	27.466	-49.228	320.551	42.577	46.444	107.166	-69.475	50	80.034	90.000	1.805	97.211	28.378	28.351	-0.406	0.018	996.149	44.000	101.300
357	17.08.21 00:33:58	8.756	9457664	1798994	0.000	0.020	28.275	24.598	174.950	-24.502	2.165	323.862	42.426	46.563	102.408	-69.387	50	79.796	80.757	0.512	97.011	28.310	28.273	-0.425	0.018	996.171	44.000	101.300
358	17.08.21 01:03:58	8.761	9453568	1798994	0.000	0.020	28.153	26.753	43.549	19.390	18.432	324.411	42.411	46.593	113.173	-69.402	50	79.867	80.881	0.385	97.162	28.196	28.160	-0.410	0.018	996.203	44.000	101.300
359	17.08.21 01:33:58	8.756	9453568	1798995	0.000	0.020	28.039	32.309	320.036	24.764	-20.752	324.290	42.415	46.594	114.082	-69.427	50	79.900	81.063	0.445	97.025	28.046	28.004	-0.424	0.018	996.248	44.000	101.300
360	17.08.21 02:03:58	8.756	9453568	1798994	0.000	0.020	27.844	15.133	283.498	3.532	-14.715	329.825	42.421	46.568	103.838	-69.506	50	79.793	80.484	0.375	97.145	27.871	27.820	-0.412	0.018	996.300	44.000	101.300
361	17.08.21 02:33:58	8.756	9453568	1798994	0.000	0.020	27.617	53.083	328.075	45.054	-28.071	331.013	42.423	46.595	101.335	-69.425	50	79.941	81.242	0.488	96.985	27.665	27.602	-0.428	0.018	996.361	44.000	101.300
362	17.08.21 03:03:58	8.761	9457664	1798993	0.000	0.020	27.397	36.028	144.828	-29.450	20.754	330.694	42.423	46.571	116.323	-69.433	50	79.824	80.943	0.444	96.990	27.425	27.358	-0.428	0.018	996.429	44.000	101.300
363	17.08.21 03:33:58	8.750	9461760	1798993	0.000	0.022	27.140	19.842	254.835	-5.190	-19.151	330.929	42.458	46.589	106.943	-69.454	50	80.093	81.396	0.547	96.988	27.167	27.098	-0.428	0.019	996.502	44.000	101.300
364	17.08.21 04:03:58	8.756	9461760	1798994	0.000	0.021	26.834	39.507	32.152	33.449	21.024	330.718	42.448	46.610	100.396	-69.430	50	80.146	81.504	0.539	96.953	26.895	26.823	-0.431	0.018	996.577	44.000	101.300
365	17.08.21 04:33:58	8.744	9474048	1798994	0.000	0.021	26.563	19.781	72.110	6.077	18.825	330.478	42.450	46.597	108.475	-69.425	50	80.082	81.074	0.424	96.846	26.608	26.533	-0.442	0.018	996.656	44.000	101.300
366	17.08.21 05:03:58	8.750	9474048	1798994	0.000	0.021	26.274	8.829	359.721	8.829	-0.043	330.472	42.451	46.602	99.565	-69.517	50	80.116	81.108	0.496	96.952	26.317	26.242	-0.431	0.018	996.734	44.000	101.300
367	17.08.21 05:33:58	8.731	9482240	1798994	0.000	0.022	25.976	11.528	131.960	-7.708	8.573	329.856	42.431	46.608	107.866	-69.499	50	80.047	81.169	0.411	96.917	26.019	25.945	-0.435	0.019	996.814	44.000	101.300
368	17.08.21 06:03:58	8.737	9482240	1798994	0.000	0.022	25.699	41.914	1.334	41.903	0.976	329.764	42.441	46.590	103.637	-69.454	50	80.016	82.343	0.601	96.826	25.715	25.641	-0.444	0.019	996.894	44.000	101.300
369	17.08.21 06:33:58	8.744	9478144	1798994	0.000	0.022	25.419	30.316	331.106	26.543	-14.649	329.616	42.459	46.585	108.700	-69.507	50	80.075	81.786	0.602	96.771	25.414	25.342	-0.449	0.018	996.972	44.000	101.300
370	17.08.21 07:03:58	8.737	9478144	1798994	0.000	0.022	25.110	16.262	67.478	6.229	15.022	329.571	42.457	46.611	114.065	-69.542	50	80.191	81.432	0.425	96.735	25.113	25.040	-0.453	0.018	997.050	44.000	101.300
371	17.08.21 07:33:58	8.725	9457664	1798994	0.000	0.021	24.819	31.465	61.266	15.127	27.591	329.634	42.457	46.622	101.059	-69.467	50	80.256	81.543	0.553	96.731	24.798	24.722	-0.453	0.018	997.131	44.000	101.300
372	17.08.21 08:03:58	8.737	9457664	1798995	0.000	0.022	24.520	14.789	111.218	-5.352	13.786	325.058	42.461	46.616	111.784	-69.607	50	80.244	81.387	0.513	96.708	24.477	24.391	-0.455	0.018	997.214	44.000	101.300
373	17.08.21 08:33:58	8.731	9457664	1798994	0.000	0.021	24.211	27.244	158.056	-25.270	10.181	317.249	42.455	46.623	108.127	-69.627	50	80.247	81.736	0.521	96.706	24.157	24.072	-0.456	0.018	997.293	44.000	101.300
374	17.08.21 09:03:58	8.725	9457664	1798994	0.000	0.021	23.915	28.652	199.140	-27.068	-9.395	317.468	42.458	46.632	104.949	-69.587	50	80.313	81.530	0.566	96.769	23.857	23.773	-0.449	0.018	997.367	44.000	101.300
375	17.08.21 09:33:58	8.725	9457664	1798994	0.000	0.021	23.659	35.009	246.253	-14.098	-32.045	318.050	42.482	46.651	111.826	-69.620	50	80.541	81.759	0.530	96.701	23.584	23.504	-0.456	0.018	997.432	44.000	101.300
376	17.08.21 10:03:58	8.720	9457664	1798994	0.000	0.020	23.386	35.099	283.990	8.485	-34.057	317.939	42.482	46.615	109.468	-69.623	50	80.342	81.239	0.486	96.699	23.353	23.285	-0.456	0.018	997.485	44.000	101.300
377	17.08.21 10:33:58	8.714	9457664	1798994	0.000	0.020	23.237	34.825	133.280	-23.875	25.353	318.061	42.457	46.647	115.149	-69.607	50	80.384	81.533	0.492	96.676	23.183	23.130	-0.459	0.018	997.522	44.000	101.300
378	17.08.21 11:03:58	8.720	9457664	1798993	0.000	0.020	23.104	38.038	351.485	37.619	-5.632	318.055	42.466	46.642	107.104	-69.605	50	80.408	81.731	0.490	96.561	23.088	23.053	-0.470	0.018	997.540	44.000	101.300
379	17.08.21 11:33:58	8.720	9457664	1798994	0.000	0.019	23.111	1.282	296.983	0.582	-1.142	318.743	42.462	46.640	111.652	-69.652	50	80.373	81.463	0.492	96.490	23.070	23.060	-0.477	0.017	997.538	44.000	101.300
380	17.08.21 12:03:58	8.708	9457664	1798994	0.000	0.020	23.166	37.758	296.502	16.849	-33.791	314.001	42.339	46.725	116.750	-69.632	50	78.499	90.000	8.931	96.510	23.131	23.176	-0.475	0.017	997.511	44.000	101.300
381	17.08.21 12:33:58	8.714	9457664	1798994	0.000	0.020	23.507	16.562	331.993	14.623	-7.777	322.930	43.636	46.312	102.064	-69.705	50	78.863	90.000	12.452	95.799	23.466	23.609	-0.546	0.018	997.406	44.000	101.300
382	17.08.21 13:03:58	8.720	9457664	1798994	0.000	0.020	24.088	41.075	170.550	-40.518	6.744	314.918	44.024	46.173	98.810	-69.579	50	80.031	90.000	9.646	95.943	24.075	24.286	-0.531	0.018	997.239	44.000	101.300
383	17.08.21 13:33:58	8.725	9457664	1798994	0.000	0.021	24.671	22.215	80.353	3.723	21.901	308.463	44.088	47.597	102.215	-69.606	50	78.319	90.000	11.748	96.205	24.678	24.864	-0.505	0.018	997.094	44.000	101.300
384	17.08.21 14:03:58	8.720	9457664	1798994	0.000	0.021	25.282	35.529	96.964	-4.307	35.267	323.836	44.213	46.161	99.624	-69.496	50	79.500	90.000	11.004	96.222	25.310	25.478	-0.504	0.018	996.936	44.000	101.300
385	17.08.21 14:33:58	8.720	9457664	1798994	0.000	0.021	25.840	36.279	94.806	-3.040	36.152	320.440	42.447	47.096	104.396	-69.469	50	79.048	90.000	11.296	95.618	25.840	25.991	-0.564	0.018	996.801	44.000	101.300
386	17.08.21 15:03:58	8.725	9457664	1798994	0.000	0.021	26.347	44.955	62.892	20.485	40.017	303.300	43.765	45.546	108.589	-69.470	50	78.284	90.000	13.284	96.316	26.294	26.462	-0.494	0.018	996.675	44.000	101.300
387	17.08.21 15:33:58	8.725	9457664	1798993	0.000	0.021	26.784	18.552	91.758	-0.569	18.544	301.999	43.830	46.182	104.863	-69.461	50	77.466	90.000	12.003	95.202	26.738	26.919	-0.605	0.018	996.550	44.000	101.300
388	17.08.21 16:03:58	8.731	9461760	1798994	0.000	0.021	27.264	15.242	35.252	12.447	8.797	318.428	44.004	46.544	106.072	-69.457	50	78.646	90.000	13.395	95.034	27.203	27.386	-0.622	0.018	996.421	44.000	101.300
389	17.08.21 16:33:58	8.744	9461760	1798994	0.000	0.020	27.739	49.860	236.001	-27.881	-41.336	288.198	44.093	47.145	102.614	-69.490	50	81.058	90.000	9.543	95.409	27.676	27.869	-0.584	0.018	996.285	44.000	101.300
390	17.08.21 17:03:58	8.744	9461760	1798994	0.000	0.020	28.226	33.614	188.742	-33.224	-5.109	133.501	42.394	46.663	104.870	-69.451	50	80.148	81.498	0.536	95.465	28.145	28.325	-0.579	0.018	996.155	44.000	101.300
391	17.08.21 17:33:58	8.744	9461760	1798993	0.000	0.020	28.587	35.249	124.073	-19.748	29.197	336.915	42.784	45.743	107.896	-69.336	50	74.672	90.000	11.913	95.537	28.508	28.675	-0.572	0.018	996.055	44.000	101.300
392	17.08.21 18:03:58	8.744	9461760	1798994	0.000	0.020	28.932	34.081	149.287	-29.301	17.407	324.227	44.034	46.948	112.336	-69.404	50	79.732	90.000	12.002	95.704	28.828	29.002	-0.555	0.018	995.959	44.000	101.300
393	17.08.21 18:33:58	8.750	9461760	1798993	0.000	0.019	29.243	37.629	191.794	-36.834	-7.691	312.937	42.818	45.270	97.193	-69.386	50	76.754	90.000	10.995	96.344	29.159	29.326	-0.492	0.018	995.864	44.000	101.300
394	17.08.21 19:03:58	8.750	9461760	1798994	0.000	0.020	29.564	4.122	287.352	1.229	-3.935	312.907	43.629	45.537	109.107	-69.429	50	77.567	90.000	11.129	95.891	29.463	29.616	-0.537	0.018	995.778	44.000	101.300
395	17.08.21 19:33:58	8.750	9461760	1798994	0.000	0.017	29.776	25.864	193.011	-25.200	-5.823	288.071	42.962	44.937	111.396	-69.430	50	75.962	90.000	14.233	96.188	29.686	29.826	-0.507	0.018	995.714	44.000	101.300
396	17.08.21 20:03:58	8.750	9465856	1798994	0.000	0.020	29.976	56.833	283.984	13.734	-55.149	319.636	42.991	45.210	106.140	-69.409	50	76.245	90.000	13.370	96.050	29.905	30.038	-0.521	0.018	995.651	44.000	101.300
397	17.08.21 20:33:58	8.756	9465856	1798993	0.000	0.017	30.068	57.266	113.372	-22.718	52.567	263.228	43.068	45.973	105.119	-69.355	50	80.323	90.000	6.245	95.937	30.035	30.071	-0.532	0.017	995.640	44.000	101.300
398	17.08.21 21:03:58	8.750	9465856	1798994	0.000	0.018	29.370	14.323	275.637	1.407	-14.254	301.291	44.385	44.657	138.854	-69.392	50	79.756	80.654	0.540	96.032	29.392	29.293	-0.523	0.018	995.873	44.000	101.300
399	17.08.21 21:33:58	8.756	9465856	1798994	0.000	0.020	28.741	19.700	331.987	17.392	-9.252	301.025	44.427	44.634	123.751	-69.368	50	79.851	81.960	0.569	95.893	28.675	28.585	-0.536	0.018	996.081	44.000	101.300
400	17.08.21 22:03:58	8.744	9465856	1798994	0.000	0.021	28.245	55.902	34.943	45.824	32.019	301.063	44.426	44.627	118.657	-69.448	50	79.802	80.673	0.528	95.788	28.102	28.021	-0.547	0.018	996.243	44.000	101.300
401	17.08.21 22:33:58	8.737	9465856	1798993	0.000	0.021	27.769	47.968	44.887	33.985	33.852	301.150	44.418	44.634	123.504	-69.433	50	79.799	80.669	0.469	95.764	27.651	27.586	-0.549	0.018	996.365	44.000	101.300
402	17.08.21 23:03:58	8.744	9465856	1798993	0.000	0.021	27.426	31.799	51.118	19.961	24.754	301.117	44.435	44.622	124.047	-69.385	50	79.824	80.916	0.542	95.843	27.287	27.244	-0.541	0.019	996.461	44.000	101.300
403	17.08.21 23:33:58	8.737	9465856	1798994	0.000	0.022	27.111	82.921	347.029	80.805	-18.612	300.656	44.437	44.631	120.839	-69.428	50	79.876	80.858	0.416	95.615	26.986	27.012	-0.564	0.019	996.525	44.000	101.300
404	18.08.21 00:03:58	8.737	9465856	1798994	0.000	0.022	26.817	35.658	305.054	20.480	-29.190	300.923	44.446	44.627	123.158	-69.444	50	79.907	80.922	0.481	95.773	26.735	26.757	-0.548	0.019	996.595	44.000	101.300
405	18.08.21 00:33:58	8.731	9465856	1798994	0.000	0.023	26.594	14.323	317.412	10.545	-9.692	301.074	44.454	44.625	126.389	-69.550	50	79.933	80.958	0.487	95.614	26.519	26.536	-0.564	0.019	996.655	44.000	101.300
406	18.08.21 01:03:58	8.737	9465856	1798994	0.000	0.022	26.407	34.135	265.806	-2.496	-34.044	300.962	44.475	44.620	126.895	-69.430	50	80.021	80.980	0.515	95.579	26.327	26.343	-0.568	0.019	996.707	44.000	101.300
